,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
#,0.17341138,-0.3622037,0.3832307,-0.5278576,-0.16447613,-0.5508534,-0.36298582,-0.061409216,-0.095523894,-0.7083065,0.14717367,0.5412454,-0.30561575,-0.035527434,0.5717259,0.13075686,-0.35675937,0.44488353,0.0058320654,-0.17396832,0.58048135,-0.08864303,0.8778511,-0.030368425,-0.40963098,0.86868954,-0.11112771,-0.45902234,0.44480848,0.7687496,-0.019990766,0.07269091,-0.017335488,-0.40550297,1.2545316,-0.44998598,-0.62251866,-0.22592898,-1.1942383,-0.35515013,-0.055558518,-0.51683223,-0.051622573,0.20758872,0.17003179,-0.34338656,-0.34420794,-0.7849513,0.23416118,-0.3916108,0.38951346,-0.387434,-0.8910303,-0.76095146,0.46462595,0.1600806,-0.25549752,0.10749783,0.31647608,0.19566442,-0.3536331,0.17370649,0.37168935,0.7048479,0.05777714,0.5751966,-0.5602904,0.2431151,0.00086417946,-0.23364802,-0.16228187,-0.24977647,-0.3962694,0.6573684,0.012888727,0.43605074,-0.06834607,-0.5627867,-0.7351529,0.50171846,-0.80058974,-0.1658457,-0.255622,0.6588869,-0.6214019,-0.056603163,0.14858168,0.09937155,-0.2755,-0.0765556,0.47747797,0.46707547,0.14787947,0.43447563,-0.865936,0.17596273,1.0662612,0.2235181,-0.4677218,0.0939565
EAST,0.103124574,0.26496762,0.26555568,0.09837967,0.115281135,-0.15484524,-0.4850333,0.47795102,-0.66286284,-0.7429699,0.77516836,0.37036452,-0.5395407,-0.0006491507,0.7359274,0.1589636,0.10948007,0.31860185,-0.9721742,-1.4432112,0.017897647,-0.17608064,1.4680824,-0.6221165,0.17935847,-0.26293844,0.09228167,0.90968436,-0.30123907,0.5880677,0.48710924,-0.22623245,0.05035579,-0.64520997,0.4386232,-0.11151642,0.18783157,-0.3051934,-0.7656421,-0.45554507,-0.3514415,-0.34913963,-0.56453615,0.41297913,0.26428214,-0.02519398,0.43954262,-0.18489218,0.08853233,0.22528408,0.2421083,-0.027589662,-0.20374763,0.089619786,-0.50997436,0.12896326,-0.15023927,0.26219818,-0.4490884,-0.019920228,-0.3730434,0.6666524,0.47855276,-0.31225768,-0.60575837,1.0574927,1.1131186,0.4935314,-0.47158888,-0.019805066,0.2539748,0.96676695,-0.15672868,0.75897413,0.121936634,0.25673884,0.21485917,0.0323578,-0.7210128,-0.87911886,-0.42345682,0.007962745,-0.20503731,-0.030139918,-0.30490917,-0.27166572,0.50572824,-0.7908005,0.7018035,0.2689829,0.4461255,0.48081815,0.082799695,-0.3891742,0.5659022,0.022957103,0.35270137,-0.5790811,-0.13678364,-0.026745345
NORTH,-0.5877361,0.17587467,0.2864365,-0.2984252,-0.04989882,0.34791714,-0.027882935,0.045059443,-0.07306243,-0.47345498,-0.12666658,0.14456326,-0.9013331,-0.2027647,0.22075257,-0.028950337,0.33523276,0.42761326,-0.26150134,-0.691895,0.04599571,0.42545515,0.42123502,0.27913976,0.7879025,0.55029416,-0.2349513,0.19461764,-0.21959323,0.5880432,-0.34431908,0.4197123,0.5157236,-0.22536097,0.14107248,-0.9527645,-0.45821565,0.0065072807,0.08140826,0.033603854,-0.26379725,0.3448497,-0.049569856,-0.011637016,-0.5703783,-0.88855815,0.33645612,-0.06053948,0.38559204,0.100260556,0.22483228,-0.045209844,-0.5358852,-0.09043565,0.4120435,-0.074007034,-0.29147166,0.015697753,0.33848765,1.0412879,-0.6486477,0.49148628,0.76495856,-0.02781222,-0.41596818,0.26690957,1.1111408,0.22370823,-0.16691491,-0.28335467,0.49997544,0.17244723,-0.12480448,-0.30183434,0.1171281,0.040425975,0.62915456,-0.6442154,-0.9826208,-0.568576,-0.3187488,0.18122536,0.2307319,0.7810307,-0.026036732,0.0711691,0.82491934,-0.3281294,-0.025453031,-0.013195964,0.34355998,0.42841822,0.7688684,-0.24222842,0.11351853,-0.061791815,1.0479248,0.08638578,0.53017145,0.8380265
SOUTH,-0.7037558,0.88295776,-0.30333015,-0.050432757,-0.028862653,-0.707742,-0.38434902,0.10394149,-0.4064888,-0.43968865,0.31567067,0.21337286,-0.25488612,-0.15265478,0.5477563,0.83852464,1.1792121,0.5735644,-0.49678513,-0.5464792,0.52316856,0.14238349,0.8264947,-0.15125048,0.8745403,0.49690545,-0.24090695,0.17053612,-0.15278102,0.2738015,0.15231045,0.30517048,0.73377746,-0.35189924,0.5020504,-0.17246081,0.0537679,0.30747753,-0.17910688,0.41569215,-0.2319722,-0.062318306,-0.016887931,0.2565955,-0.06657397,-0.10870202,-0.579552,-0.14992931,0.37500542,-0.09919208,-0.02959216,0.10843609,-0.9253561,0.19617781,-0.19474064,0.31928667,0.45851752,-0.17951716,-0.19384582,0.93645656,-0.17211682,0.71991605,0.36316842,0.32040167,0.63391566,0.23653477,0.67807645,0.5106618,0.57096565,-0.27634543,0.28974354,-0.46692446,-0.41988894,0.41132125,0.4392486,0.36453855,0.25851887,0.31277433,-0.23708372,-0.25711694,-0.380281,-0.021755848,0.6455909,0.43557867,-0.11208335,0.149836,0.6304661,0.046345554,0.5298433,-0.7360226,0.4123721,0.9811132,0.481281,-0.3631873,0.2571978,0.27074596,1.0259418,-0.19776265,-0.5554776,0.53009933
FALLS,-0.23550482,0.34000766,0.2603665,-0.12858537,0.4042164,-0.36725482,0.03684183,0.32268155,-0.13637534,-0.7765953,0.8093691,-0.281952,-0.54431236,-0.1978464,0.36856645,0.90141225,0.8872654,0.45600942,-0.62444335,-0.40083507,1.1806006,0.6003092,1.1623732,-0.9710593,0.44863716,0.7513087,0.13484891,-0.03738489,-0.073612876,0.27495143,-0.0135407,0.1521536,0.18378161,-0.5869683,0.55226195,-0.91597706,0.2858235,0.48329183,-0.36550093,0.41160068,0.34038764,-0.3065024,0.24765609,0.11715283,0.22676899,0.5912163,-0.4002523,-0.37811762,0.39313236,-0.22194,0.45172286,0.23491442,-0.354257,-0.7097579,0.10996746,-0.12888502,0.50989944,0.3888858,0.18589331,1.0166969,-0.87429255,0.29662278,0.21008216,0.24077547,0.13188119,0.4614118,0.34477824,-0.034147914,0.37104657,0.005385701,-0.30621523,-0.7158371,-0.121923864,0.29461688,0.023345742,-0.45631415,0.6721764,-0.3729829,-0.6393601,-0.054806225,-0.9065353,0.00864438,0.2736142,-0.16868839,-0.06592586,-0.010924072,0.53872013,-0.2306887,0.18364623,-0.23929967,0.34702167,0.5336882,1.0338802,0.11488869,0.05449337,-0.038472105,0.86431766,0.5079909,-0.34349206,0.6223266
WEST,-0.529769,0.40100652,0.20793691,0.09305491,-0.19587861,-0.0063762763,-0.27969813,0.30106065,-0.6624937,-0.4441332,0.51902866,-0.024880296,-0.5518783,0.2962771,0.34653726,0.21770398,0.5921032,0.6387428,-0.9359911,-0.7707948,-0.070644364,0.34892035,1.2581551,-0.5591931,0.73177725,0.10751067,0.6847137,0.5579842,-0.5256109,0.39249244,0.36271057,0.0076603564,0.14783828,-0.3541008,0.3356605,-0.15065521,0.6495959,-0.17879756,-0.117968835,0.32458648,-0.037995435,-0.472999,-0.6230291,0.20220007,0.32957298,0.26117343,0.15775497,-0.27884278,0.2781637,-0.2768587,0.18264107,0.17618541,-0.41180634,-0.14699847,-0.28453445,0.4436207,0.14373617,-0.1821671,-0.20361969,0.5540756,-0.36034706,0.6330284,0.38715354,-0.6140101,-0.24262956,0.22561051,0.9713203,0.40266097,0.086159736,-0.03424445,0.30559796,0.24281989,0.189483,0.39263695,0.00462405,0.24299002,0.69732386,-0.29058594,-0.8380161,-0.676926,-0.4993654,-0.16346475,0.12786357,-0.056114685,-0.31189132,-0.35471487,0.21864071,-0.5950427,0.6833517,0.090588726,0.14806573,0.7319777,0.9292414,-0.85699904,0.61827046,0.21792439,1.2451546,-0.29569557,0.19437775,-0.066958524
CSD,-0.11658371,-0.20070495,-0.0154297175,0.023651022,-0.628259,-0.39747196,-0.6684261,-0.5370032,0.016054979,-0.2342888,-0.48254868,0.33294514,-1.0814826,0.4391542,0.1775942,0.5677835,-0.22124754,0.5802655,0.1320565,-0.04470598,1.3428539,0.43386438,0.26813474,0.044364244,0.43935877,0.44345713,0.30032024,-0.3174355,-0.21409942,0.24659671,0.61081785,-0.27171057,0.59273696,-0.6937083,0.58009624,-0.56874776,-0.40645364,0.17688052,-0.26879624,-0.42162728,-0.56512123,0.12819271,-0.107787915,0.5214995,0.3074759,-0.0812653,-0.29161215,-0.17343351,1.2692655,0.24163556,-0.10583958,0.19411236,-1.0101159,-0.07076518,0.6961425,0.46741283,0.25527653,0.013386484,-0.61406064,0.29517445,-0.053753085,0.9497408,0.00034647394,-0.066166684,0.22981489,0.42390305,0.39092594,0.48172942,0.56604916,-0.026222298,0.13462794,-0.2138104,0.00013999421,-0.1587359,0.27012384,0.49990827,0.7196457,-0.14785366,0.13160539,0.101133585,-0.62280977,-0.4386595,-0.4633528,0.8135841,0.18599764,0.12719655,0.04363759,-0.33032492,0.28032508,-0.25143254,0.1370664,0.7329362,0.82516265,-0.17158169,-0.6579685,0.48440653,-0.113835834,0.43138954,-0.62225395,1.0804448
PARK,-0.2640032,0.3087878,0.3688855,-0.22468907,0.24362238,-0.332127,0.3619317,0.46142086,-0.5544835,-0.7417628,0.23633395,-0.2331711,0.10703665,0.17425503,0.55649495,-0.045532305,0.6667026,0.3711619,-0.33832073,-0.830966,0.6492476,0.08568717,0.6646746,-0.6480734,0.4613386,-0.09461681,0.031818923,0.11396145,-0.5200272,0.27583933,0.3198855,0.22249664,0.013782081,-0.7347845,0.5419118,0.11957585,-0.2406883,0.29504734,0.14674164,-0.04852214,0.013624392,-0.3081603,0.027813893,0.22066587,0.23616272,-0.08042925,-0.15762834,-0.047163587,0.40669367,0.18025105,0.4132557,0.6104364,-0.36735022,-0.3755657,0.41072926,0.1859742,0.14893734,0.17788659,-0.12597041,0.53123885,-0.7670112,0.42838517,-0.080129296,-0.18861775,-0.011991822,0.40366557,0.52755636,0.17632048,0.39887056,-0.39696938,0.3686123,-0.105375916,0.09117596,0.680451,0.42334798,0.1781292,0.9327766,-0.0032647585,-0.1253171,0.15580294,-0.55659145,0.4355544,0.35482094,0.17584339,-0.013853135,0.002980252,0.6355116,-0.45028526,0.8683461,-0.010471081,0.5401609,0.55230707,0.9917428,-0.35589373,0.66859514,0.5192061,0.49485672,-0.26480553,-0.076317504,-0.33716497
PORT,-0.19611385,0.072553776,-0.013176807,0.0111554125,0.008805969,-0.26040605,0.04910979,0.39188147,-0.7203126,-0.528976,0.046954684,0.19016662,-0.4005169,-0.011956227,0.65431154,0.3946655,0.41748357,0.6188325,-0.48042598,-0.59154844,0.71955997,-0.0008670157,1.2817352,-0.26088184,0.85231555,0.19109476,0.28713924,0.22632514,-0.32931492,0.47299317,0.7364189,-0.10095241,0.23202538,-0.9872419,0.732169,-0.20834662,0.29043052,0.5678013,0.21975523,-0.3303277,-0.21445175,-0.47864735,-0.10301124,0.50847423,-0.077093266,0.06876376,0.08937701,0.2922632,0.6035085,-0.0451219,0.064386465,-0.35413703,-0.36994934,-0.14906994,0.29861504,0.1631191,-0.0037614175,0.04947346,-0.08690187,0.41475257,-0.27344948,0.45758438,0.5246505,-0.2019015,-0.20868297,0.79339164,0.92687166,0.4992137,-0.12085146,0.13423754,0.15592496,-0.06300982,0.1251749,0.5794802,0.3166633,-0.10907493,0.21848626,0.05806432,-0.6263199,-0.7140821,-0.23312153,-0.11526602,0.32294714,0.042188693,0.07247184,-0.2983112,0.3384126,-0.16964607,0.18234153,-0.27704516,0.8933828,0.17253634,0.57538575,-0.05013413,0.24436909,0.0638014,0.7205761,-0.4695634,-0.043942478,-0.1849241
POINT,-0.18682203,-0.06407737,0.3541985,-0.11000613,-0.5271808,0.42793244,-0.035226803,-0.51076907,-0.15976517,-0.6138185,-0.12522922,0.41941774,-0.35674334,0.05635508,0.508294,0.29712263,0.4476884,0.35180232,-0.23630859,0.11137367,0.56971246,0.40374726,0.5231949,-0.4856295,0.26798034,0.1728289,0.15211877,0.09606984,-0.4078083,0.5113824,0.5969414,-0.17591694,0.441761,-0.57494473,0.19442508,-0.4161298,-0.6782191,0.15381518,-0.07914231,-0.16578886,-0.34067905,0.5393568,-0.13050923,0.5819765,-0.025373505,-0.057388417,0.38301715,-0.1340692,0.7648709,0.12540448,0.17091917,0.43595374,-1.2023762,-0.48596773,0.51231605,0.56167686,-0.15499909,0.46082935,0.17907783,-0.025272673,-0.93587536,0.5231196,0.23764841,-0.5070252,-0.33788738,0.609191,0.65908366,-0.15910326,-0.064107165,-0.29922768,0.15009253,0.15630393,0.29394037,-0.0021043424,-0.19815126,0.28941083,1.0040545,-0.16884412,-0.45935234,0.027134623,-0.73176557,-0.038040984,-0.0030403647,0.72348744,0.1807172,-0.390776,0.22932267,-0.8600195,0.42709705,-0.20759054,-0.16340894,0.40254095,0.6335769,-0.13974832,-0.19455709,0.08235357,0.30399272,0.6154939,0.03391938,0.46389788
